index_code,date,open,close,low,high,volume,money,change
sz399001,1996-05-21,1684.87,1579.97,1578.61,1706.27,779950900.0,3493245900.0000005,-0.07369538070083903
sz399001,1996-05-20,1721.05,1705.67,1679.49,1802.40,1348262800.0,6358305699.999999,0.0032880805609147856
sz399001,1996-05-17,1665.21,1700.08,1638.71,1700.08,773851700.0,3928624099.9999995,0.02453340725697095
sz399001,1996-05-16,1643.26,1659.37,1630.47,1685.05,1242618500.0,5805410800.0,0.027340098191566353
sz399001,1996-05-15,1518.82,1615.21,1518.20,1615.50,516488300.0,2715162800.0000005,0.05677721583585771
sz399001,1996-05-14,1547.12,1528.43,1524.54,1576.01,533875600.0,2632527800.0000005,-0.004150377899400537
sz399001,1996-05-13,1497.87,1534.8,1487.83,1542.81,534010600.0,2472605900.0,0.03288849407441807
sz399001,1996-05-10,1494.14,1485.93,1446.93,1494.14,486555800.0,1713233000.0,-0.010791271119868995
sz399001,1996-05-09,1526.14,1502.14,1491.96,1559.52,654342300.0,2352616900.0,-0.02531226681374299
sz399001,1996-05-08,1551.40,1541.15,1517.35,1564.07,590979700.0,2302906100.0,-0.019531125743550426
sz399001,1996-05-07,1600.43,1571.85,1537.62,1610.61,862217800.0,3698230000.0,-0.002804088132109417
sz399001,1996-05-06,1496.13,1576.27,1496.13,1576.43,693868200.0,2955280800.0,0.05900808900593901
sz399001,1996-05-03,1485.38,1488.44,1436.94,1512.06,681865000.0,2766512800.0000005,-0.0013954861390654827
sz399001,1996-05-02,1607.27,1490.52,1458.37,1616.70,1129513100.0,4875342800.0,-0.02295580581302359
sz399001,1996-04-30,1597.88,1525.54,1492.34,1627.25,1396621300.0,6133432800.0,-0.03418105385779313
sz399001,1996-04-29,1480.75,1579.53,1446.17,1579.97,1475463700.0,6156548000.0,0.0800795940974548
sz399001,1996-04-26,1298.68,1462.42,1298.68,1465.86,1467521100.0,5649894900.0,0.13671659424964844
sz399001,1996-04-25,1357.16,1286.53,1280.24,1395.05,1203032600.0,4123106000.0,-0.04296691934032093
sz399001,1996-04-24,1258.69,1344.29,1258.69,1344.33,1076402900.0,3695382000.0,0.08011538028893295
sz399001,1996-04-23,1187.26,1244.58,1187.26,1244.83,606239600.0,1916242000.0,0.04290335014831803
sz399001,1996-04-22,1169.50,1193.38,1154.08,1223.89,632482800.0,2120784000.0,0.019538491768545496
sz399001,1996-04-19,1158.83,1170.51,1153.35,1181.04,509390300.0,1911874900.0,0.00771383065731146
sz399001,1996-04-18,1116.66,1161.55,1112.00,1161.55,307413600.0,1152569000.0,0.03767264021154548
sz399001,1996-04-17,1124.42,1119.38,1118.26,1132.52,330651700.0,1061035000.0,-0.005022088299867389
sz399001,1996-04-16,1106.55,1125.03,1102.00,1125.17,258552800.0,850210000.0,0.01868905006383592
sz399001,1996-04-15,1089.42,1104.39,1088.73,1117.58,298897300.0,949884000.0,0.01382501170444228
sz399001,1996-04-12,1078.85,1089.33,1078.85,1107.36,281287800.0,1000645000.0,0.012717891507460388
sz399001,1996-04-11,1062.05,1075.65,1058.85,1075.93,134425900.0,450167000.0,0.010246632980821735
sz399001,1996-04-10,1057.60,1064.74,1054.78,1070.49,171613100.0,480398000.0,0.004718138411308415
sz399001,1996-04-09,1058.98,1059.74,1058.51,1073.79,215830300.0,549748000.0,-0.004078640703706449
sz399001,1996-04-08,1053.54,1064.08,1038.79,1067.63,172760200.0,560077000.0,0.01059909584773755
sz399001,1996-04-05,1029.02,1052.92,1028.48,1055.49,139055900.0,478490000.0,0.025358367092552125
sz399001,1996-04-04,1012.00,1026.88,1011.16,1027.49,61216500.0,242825000.0,0.013751912730144644
sz399001,1996-04-03,1008.80,1012.95,1007.20,1012.95,48113200.0,158250000.0,0.0030002376425857236
sz399001,1996-04-02,1018.99,1009.92,1007.85,1018.99,63522700.0,195281000.0,-0.010755215985894795
sz399001,1996-04-01,1029.84,1020.9,1020.27,1036.94,109727600.0,391951000.0,0.005802898493610931
sz399001,1996-03-29,1011.98,1015.01,1004.56,1015.01,96639900.0,258920000.0,0.0016381309517934373
sz399001,1996-03-28,1019.09,1013.35,1012.17,1021.16,61492800.0,223556000.0,-0.006840924014779537
sz399001,1996-03-27,1021.34,1020.33,1011.54,1021.34,91870900.0,363237000.0,-0.003476935998984243
sz399001,1996-03-26,1031.33,1023.89,1021.66,1033.99,118670300.0,470224000.0,-0.00800271278399467
sz399001,1996-03-25,1028.38,1032.15,1026.80,1036.14,119203300.0,447663000.0,0.002340396604968431
sz399001,1996-03-22,1022.38,1029.74,1017.54,1030.11,92005800.0,339009000.0,0.006067237892392052
sz399001,1996-03-21,1023.91,1023.53,1022.90,1027.78,98759100.0,405764000.0,-0.0009468033186921243
sz399001,1996-03-20,1022.38,1024.5,1021.54,1026.25,90596200.0,362159000.0,0.0005469070453345548
sz399001,1996-03-19,1025.20,1023.94,1020.82,1033.78,107897200.0,284035000.0,-0.00217312920861068
sz399001,1996-03-18,1015.78,1026.17,1015.15,1026.56,113732100.0,275534000.0,0.008867915253404135
sz399001,1996-03-15,1010.84,1017.15,1005.96,1019.47,167960300.0,340258000.0,0.002098480818111925
sz399001,1996-03-14,1016.91,1015.02,1014.80,1038.92,274754700.0,591060000.0,0.004473033151904948
sz399001,1996-03-13,1008.56,1010.5,1002.79,1012.18,198150300.0,365527000.0,0.0008517887563883608
sz399001,1996-03-12,1008.91,1009.64,997.89,1012.96,113927900.0,289027000.0,-0.0035332899074238533
sz399001,1996-03-11,1029.55,1013.22,1006.99,1029.80,111944400.0,322744000.0,-0.01767414804401568
sz399001,1996-03-08,1033.32,1031.45,1018.67,1033.59,148941600.0,480855000.0,-0.0007750060547347948
sz399001,1996-03-07,1004.44,1032.25,1003.63,1032.25,67104600.0,214622000.0,0.024088018492613772
sz399001,1996-03-06,1034.67,1007.97,1005.02,1035.13,89510200.0,299021000.0,-0.03410441182107393
sz399001,1996-03-05,1065.96,1043.56,1036.65,1073.31,151061000.0,516775000.0,-0.023505633117490876
sz399001,1996-03-04,1046.89,1068.68,1022.57,1069.47,197413600.0,626977000.0,0.056812001226229425
sz399001,1996-02-16,983.31,1011.23,983.31,1011.61,104285900.0,324474000.0,0.03278420638730295
sz399001,1996-02-15,963.54,979.13,962.70,979.69,44031000.0,132277000.0,0.016169373670281706
sz399001,1996-02-14,976.52,963.55,962.20,995.15,61559100.0,180110000.0,-0.013110052747477896
sz399001,1996-02-13,950.07,976.35,949.91,980.03,69407800.0,192742000.0,0.02783421587308288
sz399001,1996-02-12,945.86,949.91,942.22,950.44,32363000.0,87128000.0,0.005025604130517669
sz399001,1996-02-09,936.40,945.16,936.39,951.68,33236500.0,91296000.0,0.008299729031982839
sz399001,1996-02-08,939.59,937.38,936.21,941.19,33810700.0,95011000.0,-0.0014062000639182282
sz399001,1996-02-07,938.70,938.7,936.90,942.10,25043600.0,66984000.0,-0.0016909676801837303
sz399001,1996-02-06,942.97,940.29,936.39,942.97,44956600.0,110670000.0,-0.0038562181517697303
sz399001,1996-02-05,961.47,943.93,942.98,962.72,57708300.0,150456000.0,-0.013440775927842097
sz399001,1996-02-02,961.94,956.79,948.98,961.94,64280100.0,150290000.0,-0.005539849499023086
sz399001,1996-02-01,958.48,962.12,952.64,962.90,60982800.0,175347000.0,0.003567330760404719
sz399001,1996-01-31,958.76,958.7,949.95,959.87,103378500.0,274857000.0,-0.0001251538349220649
sz399001,1996-01-30,959.81,958.82,951.01,961.52,93897500.0,213587000.0,0.0035796525015701075
sz399001,1996-01-29,955.19,955.4,949.73,962.98,136618300.0,263016000.0,0.0027077517264539885
sz399001,1996-01-26,929.88,952.82,927.34,965.42,63383100.0,203128000.0,0.018198527447397472
sz399001,1996-01-25,936.83,935.79,934.41,961.20,82645900.0,222556000.0,-0.0006514310123878486
sz399001,1996-01-24,931.79,936.4,931.11,937.53,40998400.0,106364000.0,0.006827589914520704
sz399001,1996-01-23,931.95,930.05,924.33,934.06,71769100.0,182656000.0,-0.0002257433405714604
sz399001,1996-01-22,940.77,930.26,926.08,940.77,45531000.0,112570000.0,-0.011696962614340167
sz399001,1996-01-19,935.48,941.27,931.11,941.75,76838400.0,167889000.0,0.005802273892973053
sz399001,1996-01-18,956.49,935.84,935.31,956.49,61130200.0,137266000.0,-0.02501432515497215
sz399001,1996-01-17,970.48,959.85,958.11,971.08,48177700.0,111527000.0,-0.01237807136683533
sz399001,1996-01-16,971.26,971.88,969.10,976.08,27493300.0,74979000.0,-0.0011818751734272714
sz399001,1996-01-15,971.40,973.03,965.12,973.31,31551400.0,82023000.0,0.0025552521766010194
sz399001,1996-01-12,964.37,970.55,962.80,975.33,43336100.0,114792000.0,0.00625181437398914
sz399001,1996-01-11,966.40,964.52,961.98,968.94,49400500.0,122823000.0,-0.003049190155767101
sz399001,1996-01-10,980.69,967.47,960.90,980.69,71910700.0,162043000.0,-0.015878667046425488
sz399001,1996-01-09,961.44,983.08,960.86,985.38,108460900.0,252963000.0,0.021785224296345662
sz399001,1996-01-08,962.18,962.12,951.56,963.02,75315800.0,155384000.0,-0.004233034226513888
